Runs,Mins,BF,4s,6s,SR,Pos,Dismissed,Inns,Opposition,Ground,Start Date,MatchNo,Batter
31.0,26,20.0,5,0,155.00,5,0,2,v Sri Lanka,Colombo (RPS),2021-07-18,ODI # 4307,Suryakumar Yadav
53.0,78,44.0,6,0,120.45,5,1,2,v Sri Lanka,Colombo (RPS),2021-07-20,ODI # 4309,Suryakumar Yadav
40.0,63,37.0,7,0,108.10,5,1,1,v Sri Lanka,Colombo (RPS),2021-07-23,ODI # 4312,Suryakumar Yadav
39.0,42,32.0,4,1,121.87,6,1,2,v South Africa,Cape Town,2022-01-23,ODI # 4349,Suryakumar Yadav
34.0,47,36.0,5,0,94.44,5,0,2,v West Indies,Ahmedabad,2022-02-06,ODI # 4353,Suryakumar Yadav
64.0,118,83.0,5,0,77.10,5,1,1,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,Suryakumar Yadav
6.0,13,7.0,1,0,85.71,6,1,1,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,Suryakumar Yadav
27.0,45,29.0,1,1,93.10,5,1,2,v England,Lord's,2022-07-14,ODI # 4428,Suryakumar Yadav
16.0,34,28.0,1,0,57.14,5,1,2,v England,Manchester,2022-07-17,ODI # 4433,Suryakumar Yadav
13.0,22,14.0,2,0,92.85,4,1,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Suryakumar Yadav
9.0,10,8.0,0,1,112.50,4,1,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Suryakumar Yadav
8.0,9,6.0,1,0,133.33,4,1,1,v West Indies,Port of Spain,2022-07-27,ODI # 4439,Suryakumar Yadav
4.0,2,3.0,1,0,133.33,5,1,1,v New Zealand,Auckland,2022-11-25,ODI # 4483,Suryakumar Yadav
34.0,-,25.0,2,3,136.00,3,0,1,v New Zealand,Hamilton,2022-11-27,ODI # 4487,Suryakumar Yadav
6.0,17,10.0,0,0,60.00,5,1,1,v New Zealand,Christchurch,2022-11-30,ODI # 4489,Suryakumar Yadav
4.0,6,4.0,0,0,100.00,6,1,1,v Sri Lanka,Thiruvananthapuram,2023-01-15,ODI # 4505,Suryakumar Yadav
31.0,39,26.0,4,0,119.23,5,1,1,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,Suryakumar Yadav
14.0,19,9.0,0,2,155.55,5,1,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Suryakumar Yadav
0.0,3,1.0,0,0,0.00,4,1,2,v Australia,Wankhede,2023-03-17,ODI # 4538,Suryakumar Yadav
0.0,1,1.0,0,0,0.00,4,1,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Suryakumar Yadav
0.0,2,1.0,0,0,0.00,7,1,2,v Australia,Chennai,2023-03-22,ODI # 4545,Suryakumar Yadav
0.0,6,4.0,0,0,0.00,11,0,1,v New Zealand,Christchurch,2022-11-30,ODI # 4489,Umran Malik
0.0,6,0.0,0,0,-,11,0,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Umran Malik
2.0,7,5.0,0,0,40.00,10,0,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Umran Malik
22.0,21,13.0,0,2,169.23,9,0,1,v England,Leeds,2018-07-17,ODI # 4018,Shardul Thakur
0.0,-,3.0,0,0,0.00,8,1,1,v Hong Kong,Dubai (DSC),2018-09-18,ODI # 4039,Shardul Thakur
17.0,-,6.0,2,1,283.33,8,0,2,v West Indies,Cuttack,2019-12-22,ODI # 4223,Shardul Thakur
13.0,-,10.0,2,0,130.00,8,1,1,v Australia,Wankhede,2020-01-14,ODI # 4231,Shardul Thakur
18.0,20,15.0,3,0,120.00,8,1,2,v New Zealand,Auckland,2020-02-08,ODI # 4239,Shardul Thakur
7.0,19,6.0,1,0,116.66,8,1,1,v New Zealand,Mount Maunganui,2020-02-11,ODI # 4243,Shardul Thakur
0.0,1,0.0,0,0,-,8,0,1,v England,Pune,2021-03-26,ODI # 4283,Shardul Thakur
30.0,35,21.0,1,3,142.85,8,1,1,v England,Pune,2021-03-28,ODI # 4284,Shardul Thakur
50.0,63,43.0,5,1,116.27,8,0,2,v South Africa,Paarl,2022-01-19,ODI # 4344,Shardul Thakur
40.0,60,38.0,3,1,105.26,7,0,1,v South Africa,Paarl,2022-01-21,ODI # 4346,Shardul Thakur
8.0,17,15.0,1,0,53.33,8,1,1,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,Shardul Thakur
7.0,9,5.0,1,0,140.00,8,0,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Shardul Thakur
3.0,12,6.0,0,0,50.00,8,1,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Shardul Thakur
9.0,10,6.0,2,0,150.00,8,1,1,v Zimbabwe,Harare,2022-08-22,ODI # 4457,Shardul Thakur
33.0,55,31.0,5,0,106.45,7,1,2,v South Africa,Lucknow,2022-10-06,ODI # 4470,Shardul Thakur
1.0,3,2.0,0,0,50.00,8,1,1,v New Zealand,Auckland,2022-11-25,ODI # 4483,Shardul Thakur
2.0,6,3.0,0,0,66.66,8,1,1,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,Shardul Thakur
7.0,37,23.0,0,0,30.43,7,1,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Shardul Thakur
3.0,14,5.0,0,0,60.00,8,1,1,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,Shardul Thakur
3.0,9,3.0,0,0,100.00,8,1,1,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,Shardul Thakur
25.0,26,17.0,3,1,147.05,8,1,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Shardul Thakur
9.0,32,21.0,1,0,42.85,3,1,1,v New Zealand,Hamilton,2019-01-31,ODI # 4091,Shubman Gill
7.0,13,11.0,1,0,63.63,3,1,1,v New Zealand,Wellington,2019-02-03,ODI # 4092,Shubman Gill
33.0,-,39.0,3,1,84.61,2,1,1,v Australia,Canberra,2020-12-02,ODI # 4267,Shubman Gill
64.0,83,53.0,6,2,120.75,2,1,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Shubman Gill
43.0,70,49.0,5,0,87.75,2,1,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Shubman Gill
98.0,162,98.0,7,2,100.0,2,0,1,v West Indies,Port of Spain,2022-07-27,ODI # 4439,Shubman Gill
82.0,130,72.0,10,1,113.88,2,0,2,v Zimbabwe,Harare,2022-08-18,ODI # 4451,Shubman Gill
33.0,62,34.0,6,0,97.05,3,1,2,v Zimbabwe,Harare,2022-08-20,ODI # 4454,Shubman Gill
130.0,145,97.0,15,1,134.02,3,1,1,v Zimbabwe,Harare,2022-08-22,ODI # 4457,Shubman Gill
3.0,13,7.0,0,0,42.85,2,1,2,v South Africa,Lucknow,2022-10-06,ODI # 4470,Shubman Gill
28.0,34,26.0,5,0,107.69,2,1,2,v South Africa,Ranchi,2022-10-09,ODI # 4471,Shubman Gill
49.0,82,57.0,8,0,85.96,2,1,2,v South Africa,Delhi,2022-10-11,ODI # 4472,Shubman Gill
50.0,93,65.0,1,3,76.92,2,1,1,v New Zealand,Auckland,2022-11-25,ODI # 4483,Shubman Gill
45.0,-,42.0,4,1,107.14,2,0,1,v New Zealand,Hamilton,2022-11-27,ODI # 4487,Shubman Gill
13.0,34,22.0,2,0,59.09,2,1,1,v New Zealand,Christchurch,2022-11-30,ODI # 4489,Shubman Gill
70.0,89,60.0,11,0,116.66,2,1,1,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,Shubman Gill
21.0,25,12.0,5,0,175.0,2,1,2,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,Shubman Gill
116.0,147,97.0,14,2,119.58,2,1,1,v Sri Lanka,Thiruvananthapuram,2023-01-15,ODI # 4505,Shubman Gill
208.0,225,149.0,19,9,139.59,2,1,1,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,Shubman Gill
40.0,88,53.0,6,0,75.47,2,0,2,v New Zealand,Raipur,2023-01-21,ODI # 4509,Shubman Gill
112.0,120,78.0,13,5,143.58,2,1,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Shubman Gill
20.0,57,31.0,3,0,64.51,2,1,2,v Australia,Wankhede,2023-03-17,ODI # 4538,Shubman Gill
0.0,4,2.0,0,0,0.0,2,1,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Shubman Gill
37.0,62,49.0,4,1,75.51,2,1,2,v Australia,Chennai,2023-03-22,ODI # 4545,Shubman Gill
46.0,70,46.0,5,1,100.00,3,1,1,v Sri Lanka,Colombo (RPS),2021-07-23,ODI # 4312,Sanju Samson
12.0,31,18.0,0,1,66.66,5,1,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Sanju Samson
54.0,102,51.0,3,3,105.88,5,1,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Sanju Samson
6.0,10,7.0,0,0,85.71,5,0,1,v West Indies,Port of Spain,2022-07-27,ODI # 4439,Sanju Samson
43.0,51,39.0,3,4,110.25,6,0,2,v Zimbabwe,Harare,2022-08-20,ODI # 4454,Sanju Samson
15.0,16,13.0,0,2,115.38,6,1,1,v Zimbabwe,Harare,2022-08-22,ODI # 4457,Sanju Samson
86.0,118,63.0,9,3,136.50,6,0,2,v South Africa,Lucknow,2022-10-06,ODI # 4470,Sanju Samson
30.0,51,36.0,1,1,83.33,5,0,2,v South Africa,Ranchi,2022-10-09,ODI # 4471,Sanju Samson
2.0,5,4.0,0,0,50.00,5,0,2,v South Africa,Delhi,2022-10-11,ODI # 4472,Sanju Samson
36.0,58,38.0,4,0,94.73,6,1,1,v New Zealand,Auckland,2022-11-25,ODI # 4483,Sanju Samson
8.0,5,5.0,2,0,160.00,8,1,1,v Bangladesh,Mirpur,2014-06-17,ODI # 3498,Axar Patel
1.0,4,3.0,0,0,33.33,9,1,1,v Bangladesh,Mirpur,2014-06-19,ODI # 3499,Axar Patel
14.0,5,4.0,0,2,350.00,7,0,1,v Sri Lanka,Cuttack,2014-11-02,ODI # 3539,Axar Patel
17.0,34,14.0,2,0,121.42,9,0,2,v Sri Lanka,Ranchi,2014-11-16,ODI # 3547,Axar Patel
0.0,2,2.0,0,0,0.00,7,1,1,v Australia,Melbourne,2015-01-18,ODI # 3582,Axar Patel
0.0,2,1.0,0,0,0.00,8,1,1,v England,Brisbane,2015-01-20,ODI # 3586,Axar Patel
1.0,7,5.0,0,0,20.00,9,1,1,v England,Perth,2015-01-30,ODI # 3595,Axar Patel
0.0,1,1.0,0,0,0.00,8,1,1,v Bangladesh,Mirpur,2015-06-21,ODI # 3660,Axar Patel
10.0,7,5.0,0,1,200.00,8,0,1,v Bangladesh,Mirpur,2015-06-24,ODI # 3661,Axar Patel
2.0,5,3.0,0,0,66.66,8,0,1,v Zimbabwe,Harare,2015-07-10,ODI # 3662,Axar Patel
1.0,2,2.0,0,0,50.00,9,1,1,v Zimbabwe,Harare,2015-07-12,ODI # 3665,Axar Patel
13.0,20,27.0,0,1,48.14,7,1,1,v South Africa,Indore,2015-10-14,ODI # 3692,Axar Patel
15.0,23,11.0,0,1,136.36,7,0,2,v South Africa,Rajkot,2015-10-18,ODI # 3695,Axar Patel
4.0,7,4.0,0,0,100.00,8,0,1,v South Africa,Chennai,2015-10-22,ODI # 3698,Axar Patel
5.0,13,8.0,0,0,62.50,7,1,2,v South Africa,Wankhede,2015-10-25,ODI # 3700,Axar Patel
17.0,47,22.0,0,1,77.27,7,1,2,v New Zealand,Delhi,2016-10-20,ODI # 3797,Axar Patel
38.0,77,40.0,3,1,95.00,5,1,2,v New Zealand,Ranchi,2016-10-26,ODI # 3799,Axar Patel
24.0,28,18.0,1,1,133.33,7,1,1,v New Zealand,Visakhapatnam,2016-10-29,ODI # 3800,Axar Patel
6.0,-,9.0,0,0,66.66,8,1,2,v Sri Lanka,Pallekele,2017-08-24,ODI # 3906,Axar Patel
5.0,15,6.0,0,0,83.33,8,1,2,v Australia,Bengaluru,2017-09-28,ODI # 3917,Axar Patel
21.0,32,21.0,1,1,100.00,7,1,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Axar Patel
64.0,66,35.0,3,5,182.85,7,0,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Axar Patel
6.0,9,7.0,1,0,85.71,7,0,2,v Zimbabwe,Harare,2022-08-20,ODI # 4454,Axar Patel
1.0,9,4.0,0,0,25.00,7,1,1,v Zimbabwe,Harare,2022-08-22,ODI # 4457,Axar Patel
56.0,80,56.0,2,3,100.00,6,1,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Axar Patel
20.0,24,17.0,1,1,117.64,7,1,1,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,Axar Patel
9.0,20,9.0,0,0,100.00,7,1,1,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,Axar Patel
21.0,28,21.0,1,1,100.00,7,1,2,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,Axar Patel
2.0,9,2.0,0,0,100.00,7,0,1,v Sri Lanka,Thiruvananthapuram,2023-01-15,ODI # 4505,Axar Patel
29.0,56,29.0,1,2,100.00,8,0,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Axar Patel
2.0,8,4.0,0,0,50.00,5,1,2,v Australia,Chennai,2023-03-22,ODI # 4545,Axar Patel
3.0,9,5.0,0,0,60.00,9,1,1,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,Mohammed Siraj
4.0,14,6.0,1,0,66.66,10,1,1,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,Mohammed Siraj
1.0,6,2.0,0,0,50.00,9,0,1,v West Indies,Port of Spain,2022-07-22,ODI # 4436,Mohammed Siraj
1.0,5,1.0,0,0,100.00,10,0,2,v West Indies,Port of Spain,2022-07-24,ODI # 4438,Mohammed Siraj
9.0,33,20.0,1,0,45.00,10,1,1,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,Mohammed Siraj
2.0,24,12.0,0,0,16.66,10,1,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Mohammed Siraj
0.0,2,2.0,0,0,0.00,10,0,1,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,Mohammed Siraj
7.0,7,8.0,0,0,87.50,9,0,1,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,Mohammed Siraj
0.0,9,3.0,0,0,0.00,11,1,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Mohammed Siraj
3.0,8,5.0,0,0,60.00,11,0,2,v Australia,Chennai,2023-03-22,ODI # 4545,Mohammed Siraj
2.0,-,6.0,0,0,33.33,9,0,2,v West Indies,North Sound,2017-07-02,ODI # 3900,Kuldeep Yadav
0.0,2,0.0,0,0,-,9,0,1,v Australia,Chennai,2017-09-17,ODI # 3910,Kuldeep Yadav
0.0,1,2.0,0,0,0.00,9,1,1,v Australia,Eden Gardens,2017-09-21,ODI # 3912,Kuldeep Yadav
0.0,3,0.0,0,0,-,9,0,1,v New Zealand,Wankhede,2017-10-22,ODI # 3928,Kuldeep Yadav
19.0,44,25.0,4,0,76.00,9,1,1,v Sri Lanka,Dharamsala,2017-12-10,ODI # 3939,Kuldeep Yadav
0.0,3,0.0,0,0,-,9,0,1,v South Africa,Johannesburg,2018-02-10,ODI # 3973,Kuldeep Yadav
2.0,7,4.0,0,0,50.00,9,0,1,v South Africa,Gqeberha,2018-02-13,ODI # 3976,Kuldeep Yadav
8.0,-,26.0,0,0,30.76,9,0,2,v England,Lord's,2018-07-14,ODI # 4016,Kuldeep Yadav
0.0,-,0.0,0,0,-,9,0,1,v Hong Kong,Dubai (DSC),2018-09-18,ODI # 4039,Kuldeep Yadav
9.0,-,11.0,0,0,81.81,9,1,2,v Afghanistan,Dubai (DSC),2018-09-25,ODI # 4046,Kuldeep Yadav
5.0,-,5.0,0,0,100.00,9,0,2,v Bangladesh,Dubai (DSC),2018-09-28,ODI # 4048,Kuldeep Yadav
15.0,-,21.0,1,0,71.42,8,0,2,v West Indies,Pune,2018-10-27,ODI # 4062,Kuldeep Yadav
3.0,14,6.0,0,0,50.00,9,1,2,v Australia,Sydney,2019-01-12,ODI # 4077,Kuldeep Yadav
15.0,47,33.0,1,0,45.45,9,1,1,v New Zealand,Hamilton,2019-01-31,ODI # 4091,Kuldeep Yadav
3.0,-,3.0,0,0,100.00,9,1,1,v Australia,Nagpur,2019-03-05,ODI # 4106,Kuldeep Yadav
10.0,-,16.0,1,0,62.50,9,1,2,v Australia,Ranchi,2019-03-08,ODI # 4109,Kuldeep Yadav
1.0,-,1.0,0,0,100.00,9,0,1,v Australia,Mohali,2019-03-10,ODI # 4111,Kuldeep Yadav
8.0,-,12.0,1,0,66.66,10,1,2,v Australia,Delhi,2019-03-13,ODI # 4113,Kuldeep Yadav
1.0,4,1.0,0,0,100.00,9,0,1,v Afghanistan,Southampton,2019-06-22,ODI # 4169,Kuldeep Yadav
0.0,7,1.0,0,0,0.00,9,0,1,v West Indies,Manchester,2019-06-27,ODI # 4175,Kuldeep Yadav
17.0,-,15.0,2,0,113.33,10,1,1,v Australia,Wankhede,2020-01-14,ODI # 4231,Kuldeep Yadav
5.0,11,8.0,0,0,62.50,9,1,1,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,Kuldeep Yadav
2.0,2,2.0,0,0,100.00,10,0,1,v Zimbabwe,Harare,2022-08-22,ODI # 4457,Kuldeep Yadav
0.0,3,1.0,0,0,0.00,8,1,2,v South Africa,Lucknow,2022-10-06,ODI # 4470,Kuldeep Yadav
3.0,8,3.0,0,0,100.00,9,0,1,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,Kuldeep Yadav
10.0,22,10.0,2,0,100.00,8,0,2,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,Kuldeep Yadav
5.0,18,6.0,0,0,83.33,9,0,1,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,Kuldeep Yadav
3.0,11,3.0,0,0,100.00,9,1,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Kuldeep Yadav
4.0,21,17.0,0,0,23.52,9,1,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Kuldeep Yadav
6.0,33,15.0,0,0,40.00,9,1,2,v Australia,Chennai,2023-03-22,ODI # 4545,Kuldeep Yadav
12.0,33,22.0,1,0,54.54,2,1,1,v Sri Lanka,Dambulla,2008-08-18,ODI # 2742,Virat Kohli
37.0,82,67.0,6,0,55.22,2,1,2,v Sri Lanka,Dambulla,2008-08-20,ODI # 2745,Virat Kohli
25.0,40,38.0,4,0,65.78,1,1,1,v Sri Lanka,Colombo (RPS),2008-08-24,ODI # 2750,Virat Kohli
54.0,87,66.0,7,0,81.81,1,1,1,v Sri Lanka,Colombo (RPS),2008-08-27,ODI # 2755,Virat Kohli
31.0,45,46.0,3,1,67.39,1,1,2,v Sri Lanka,Colombo (RPS),2008-08-29,ODI # 2756,Virat Kohli
2.0,6,2.0,0,0,100.00,7,0,1,v Sri Lanka,Colombo (RPS),2009-09-14,ODI # 2889,Virat Kohli
16.0,28,24.0,1,0,66.66,4,1,2,v Pakistan,Centurion,2009-09-26,ODI # 2898,Virat Kohli
79.0,121,104.0,9,2,75.96,4,0,2,v West Indies,Johannesburg,2009-09-30,ODI # 2904,Virat Kohli
30.0,53,41.0,3,0,73.17,4,1,2,v Australia,Vadodara,2009-10-25,ODI # 2913,Virat Kohli
10.0,32,16.0,1,0,62.50,3,1,2,v Australia,Mohali,2009-11-02,ODI # 2919,Virat Kohli
27.0,20,19.0,4,0,142.10,7,1,1,v Sri Lanka,Rajkot,2009-12-15,ODI # 2932,Virat Kohli
54.0,93,65.0,7,0,83.07,4,1,1,v Sri Lanka,Nagpur,2009-12-18,ODI # 2933,Virat Kohli
107.0,-,114.0,11,1,93.85,4,1,2,v Sri Lanka,Eden Gardens,2009-12-24,ODI # 2935,Virat Kohli
9.0,19,12.0,1,0,75.00,3,1,1,v Sri Lanka,Mirpur,2010-01-05,ODI # 2938,Virat Kohli
91.0,136,102.0,7,0,89.21,3,1,2,v Bangladesh,Mirpur,2010-01-07,ODI # 2939,Virat Kohli
71.0,98,68.0,9,0,104.41,3,0,2,v Sri Lanka,Mirpur,2010-01-10,ODI # 2941,Virat Kohli
102.0,128,95.0,11,0,107.36,3,0,2,v Bangladesh,Mirpur,2010-01-11,ODI # 2942,Virat Kohli
2.0,6,8.0,0,0,25.00,3,1,1,v Sri Lanka,Mirpur,2010-01-13,ODI # 2943,Virat Kohli
31.0,-,46.0,1,0,67.39,5,1,1,v South Africa,Jaipur,2010-02-21,ODI # 2961,Virat Kohli
57.0,-,71.0,4,1,80.28,3,1,2,v South Africa,Ahmedabad,2010-02-27,ODI # 2963,Virat Kohli
0.0,3,0.0,0,0,-,3,1,1,v Zimbabwe,Bulawayo,2010-05-28,ODI # 2981,Virat Kohli
82.0,125,92.0,4,0,89.13,3,1,2,v Sri Lanka,Bulawayo,2010-05-30,ODI # 2983,Virat Kohli
18.0,28,29.0,1,0,62.06,3,1,1,v Zimbabwe,Harare,2010-06-03,ODI # 2986,Virat Kohli
68.0,123,95.0,5,0,71.57,3,1,1,v Sri Lanka,Harare,2010-06-05,ODI # 2988,Virat Kohli
11.0,35,22.0,0,0,50.00,3,1,2,v Bangladesh,Dambulla,2010-06-16,ODI # 2993,Virat Kohli
18.0,31,27.0,1,0,66.66,3,1,2,v Pakistan,Dambulla,2010-06-19,ODI # 2996,Virat Kohli
10.0,13,14.0,1,0,71.42,3,1,1,v Sri Lanka,Dambulla,2010-06-22,ODI # 2999,Virat Kohli
28.0,57,34.0,4,0,82.35,3,1,1,v Sri Lanka,Dambulla,2010-06-24,ODI # 3001,Virat Kohli
0.0,5,3.0,0,0,0.00,3,1,2,v Sri Lanka,Dambulla,2010-08-16,ODI # 3032,Virat Kohli
8.0,22,16.0,1,0,50.00,3,1,1,v New Zealand,Dambulla,2010-08-25,ODI # 3039,Virat Kohli
37.0,98,57.0,5,0,64.91,3,1,2,v Sri Lanka,Dambulla,2010-08-28,ODI # 3040,Virat Kohli
118.0,193,121.0,11,1,97.52,3,1,2,v Australia,Visakhapatnam,2010-10-20,ODI # 3060,Virat Kohli
105.0,162,104.0,10,0,100.96,3,1,1,v New Zealand,Guwahati,2010-11-28,ODI # 3070,Virat Kohli
64.0,78,73.0,8,0,87.67,3,1,2,v New Zealand,Jaipur,2010-12-01,ODI # 3072,Virat Kohli
63.0,83,70.0,6,2,90.00,3,0,2,v New Zealand,Vadodara,2010-12-04,ODI # 3074,Virat Kohli
0.0,3,2.0,0,0,0.00,3,1,2,v New Zealand,Bengaluru,2010-12-07,ODI # 3076,Virat Kohli
2.0,10,8.0,0,0,25.00,3,1,2,v New Zealand,Chennai,2010-12-10,ODI # 3077,Virat Kohli
54.0,122,70.0,2,1,77.14,3,1,2,v South Africa,Durban,2011-01-12,ODI # 3079,Virat Kohli
22.0,43,34.0,1,0,64.70,3,1,1,v South Africa,Johannesburg,2011-01-15,ODI # 3080,Virat Kohli
28.0,51,41.0,5,0,68.29,3,1,2,v South Africa,Cape Town,2011-01-18,ODI # 3082,Virat Kohli
87.0,126,92.0,7,2,94.56,3,0,2,v South Africa,Gqeberha,2011-01-21,ODI # 3084,Virat Kohli
2.0,11,6.0,0,0,33.33,3,1,2,v South Africa,Centurion,2011-01-23,ODI # 3087,Virat Kohli
100.0,113,83.0,8,2,120.48,4,0,1,v Bangladesh,Mirpur,2011-02-19,ODI # 3100,Virat Kohli
8.0,12,5.0,1,0,160.00,7,1,1,v England,Bengaluru,2011-02-27,ODI # 3110,Virat Kohli
